ID, Label, Wikipedia
Q23,"George Washington","George Washington"
Q42,"Douglas Adams","Douglas Adams"
Q1868,"Paul Otlet","Paul Otlet"
Q207,"George W. Bush","George W. Bush"
Q297,"Diego Velázquez","Diego Velázquez"
Q368,"Augusto Pinochet","Augusto Pinochet"
Q501,"Charles Baudelaire","Charles Baudelaire"
Q619,"Nicolaus Copernicus","Nicolaus Copernicus"
Q633,"Neil Young","Neil Young"
Q747,"Pierre Corneille","Pierre Corneille"
Q815,"Gabriel Gonzáles Videla","Gabriel González Videla"
Q853,"Andrei Tarkovsky","Andrei Tarkovsky"
Q859,"Plato","Plato"
Q873,"Meryl Streep","Meryl Streep"
Q946,"Donald Tusk","Donald Tusk"
Q997,"Andrei Sakharov","Andrei Sakharov"
Q1056,"Italo Balbo","Italo Balbo"
Q1058,"Narendra Modi","Narendra Modi"
Q1149,"Indira Gandhi","Indira Gandhi"
Q1151,"Hector Berlioz","Hector Berlioz"
Q1228,"Oscar Luigi Scalfaro","Oscar Luigi Scalfaro"
Q1253,"Ban Ki-moon","Ban Ki-moon"
Q1254,"Kofi Annan","Kofi Annan"
Q1276,"Leonard Cohen","Leonard Cohen"
Q1317,"Osama bin Laden","Osama bin Laden"
Q1325,"Friedrich Hayek","Friedrich Hayek"
Q1330,"José Joaquín Prieto","José Joaquín Prieto"
Q1416,"Otho","Otho"
Q1421,"Titus","Titus"
Q1511,"Richard Wagner","Richard Wagner"
Q1526,"Ramesses I","Ramesses I"
Q1638,"Primo Nebiolo","Primo Nebiolo"
Q1812,"Gordian III","Gordian III"
Q1956,"Hermann Maier","Hermann Maier"
Q2105,"Jacques Chirac","Jacques Chirac"
Q2185,"Georges Pompidou","Georges Pompidou"
Q2190,"Coluche","Coluche"
Q2496,"Ludwig Erhard","Ludwig Erhard"
Q2518,"Helmut Kohl","Helmut Kohl"
Q2567,"Richard von Weizsäcker","Richard von Weizsäcker"
Q2610,"Willi Stoph","Willi Stoph"
Q2677,"Wilhelm II","Wilhelm II, German Emperor"
Q3036,"Mack Wilberg","Mack Wilberg"
Q3098,"Georg Henrik Lybecker","Georg Lybecker"
Q3260,"Hubert Clifford","Hubert Clifford"
Q3319,"Yukiko Kobayashi","Yukiko Kobayashi"
Q3374,"Anne-Sophie Mutter","Anne-Sophie Mutter"
Q3547,"Franciszek Karpiński","Franciszek Karpiński"
Q3671,"Justin Chadwick","Justin Chadwick"
Q4009,"Ramesses IX","Ramesses IX"
Q4128,"Louis Aragon","Louis Aragon"
Q4153,"George Bournoutian","George Bournoutian"
Q4261,"Michel Platini","Michel Platini"
Q4267,"Adémar de Chabannes","Adémar de Chabannes"
Q4270,"Tom DeLonge","Tom DeLonge"
Q4318,"Theopompus","Theopompus"
Q4328,"Alberich of Reims","Alberich of Reims"
Q4441,"Emily Dickinson","Emily Dickinson"
Q4489,"Stefanie Heinzmann","Stefanie Heinzmann"
Q4491,"Anna Faris","Anna Faris"
Q4496,"Mitt Romney","Mitt Romney"
Q4498,"Beatritz de Dia","Comtessa de Dia"
Q4671,"Matthew Kneale","Matthew Kneale"
Q4700,"Claude Debussy","Claude Debussy"
Q4761,"Ernst Mielck","Ernst Mielck"
Q4762,"Roy Budd","Roy Budd"
Q5170,"Blondel de Nesle","Blondel de Nesle"
Q5198,"Walter of Châtillon","Walter of Châtillon"
Q5233,"François-Édouard Picot","François-Édouard Picot"
Q5280,"Laurent Mourguet","Laurent Mourguet"
Q5351,"William IX, Duke of Aquitaine","William IX, Duke of Aquitaine"
